reading_id,timestamp,node_id,node_name,temperature_c,humidity_pct,congestion_index,throughput_ratio,vibration_level,wind_speed_kmh,visibility_km,alert_level
SENS-0000060,2026-04-04 06:21:00,JP-YOK,Yokohama,29.7,44.2,0.211,0.317,0.542,34.9,4.3,0
SENS-0000061,2026-04-08 13:25:00,IN-VIZ,Visakhapatnam Port,18.9,48.2,0.496,0.912,0.624,7.3,9.0,0
SENS-0000062,2026-04-08 08:40:00,TH-LCH,Laem Chabang,27.5,70.1,0.169,0.321,0.414,20.0,6.0,0
SENS-0000063,2026-04-02 02:27:00,US-LAX,Los Angeles,33.6,69.7,0.327,0.916,0.708,21.5,8.7,0
SENS-0000064,2026-04-03 05:44:00,DE-HAM,Hamburg,21.6,78.4,0.018,0.827,0.422,16.5,6.5,0
SENS-0000065,2026-04-06 13:18:00,US-LAX,Los Angeles,26.4,75.9,0.203,0.599,0.912,5.0,10.4,0
SENS-0000066,2026-04-02 19:10:00,JP-YOK,Yokohama,25.8,62.2,0.413,0.785,0.585,14.9,10.7,0
SENS-0000067,2026-04-08 09:32:00,JP-YOK,Yokohama,26.8,92.5,0.106,0.586,0.917,30.5,5.5,1
SENS-0000068,2026-04-02 10:13:00,IN-GAU,Guwahati Warehouse,20.3,39.9,0.352,0.949,0.762,21.8,8.0,0
SENS-0000069,2026-04-08 06:26:00,ZA-DUR,Durban,28.0,72.0,0.22,0.717,0.251,2.3,10.3,3
SENS-0000070,2026-04-04 01:42:00,IN-MUM,Mumbai Warehouse (Bhiwandi),25.5,63.7,0.556,0.753,0.315,0.9,11.9,0
SENS-0000071,2026-04-08 11:31:00,IN-AMD,Ahmedabad DC,28.2,111.2,0.624,0.323,0.72,33.4,9.0,1
SENS-0000072,2026-04-10 15:46:00,IN-MUN,Mundra Port,23.4,64.0,0.063,0.512,0.302,3.7,5.0,0
SENS-0000073,2026-04-02 00:26:00,IN-VIZ,Visakhapatnam Port,30.7,57.9,0.225,0.936,0.245,13.4,14.6,1
SENS-0000074,2026-04-05 21:18:00,IN-KOC,Kochi Port,35.5,73.7,0.097,0.498,0.464,9.7,9.1,0
SENS-0000075,2026-04-07 08:26:00,IN-BLR,Bangalore Hub (Whitefield),34.1,54.9,0.19,0.394,0.963,24.8,3.9,2
SENS-0000076,2026-04-01 21:57:00,ZA-DUR,Durban,34.4,68.1,0.299,0.786,0.052,23.5,4.5,1
SENS-0000077,2026-04-02 22:51:00,US-NYC,New York/New Jersey,23.6,71.8,0.212,0.713,0.222,5.5,9.8,0
SENS-0000078,2026-04-01 19:21:00,TH-LCH,Laem Chabang,19.7,76.4,0.568,0.37,0.513,15.2,4.2,0
SENS-0000079,2026-04-04 22:04:00,IN-JNPT,Nhava Sheva (JNPT),22.6,52.5,0.319,0.626,0.528,16.7,5.3,0
SENS-0000080,2026-04-02 19:54:00,CN-SHA,Shanghai,30.4,65.8,0.473,0.332,0.541,1.3,7.6,1
SENS-0000081,2026-04-08 05:12:00,IN-KOL,Kolkata Port,19.2,60.8,0.419,0.39,0.43,11.0,13.8,0
SENS-0000082,2026-04-09 06:58:00,KR-BUS,Busan,30.7,63.7,0.12,0.863,0.377,26.0,8.4,1
SENS-0000083,2026-04-04 23:28:00,SG-SIN,Singapore,33.2,87.2,0.35,0.443,0.414,20.1,9.8,0
SENS-0000084,2026-04-02 17:23:00,US-NYC,New York/New Jersey,33.4,55.9,0.098,0.656,0.245,23.9,9.5,0
SENS-0000085,2026-04-10 01:53:00,IN-MUN,Mundra Port,27.4,53.4,0.323,0.582,0.727,13.1,8.9,1
SENS-0000086,2026-04-10 15:35:00,SG-SIN,Singapore,34.3,62.7,0.141,0.748,0.369,5.1,5.5,0
SENS-0000087,2026-04-09 07:02:00,IN-VIZ,Visakhapatnam Port,30.2,68.7,0.32,0.648,0.471,16.3,5.6,0
SENS-0000088,2026-04-04 08:01:00,IN-HYD,Hyderabad DC,21.7,57.1,0.054,0.594,0.344,10.7,13.0,0
SENS-0000089,2026-04-10 20:42:00,IN-VIZ,Visakhapatnam Port,28.7,47.2,0.381,0.393,0.998,7.1,10.8,0
SENS-0000090,2026-04-02 14:48:00,CN-SHA,Shanghai,27.7,78.8,0.118,0.85,0.713,12.1,6.8,0
SENS-0000091,2026-04-06 14:02:00,IN-KOL,Kolkata Port,25.4,83.7,0.413,0.365,0.687,20.8,7.0,0
SENS-0000092,2026-04-03 07:24:00,IN-JNPT,Nhava Sheva (JNPT),20.7,71.4,0.088,0.357,0.709,36.3,8.3,0
SENS-0000093,2026-04-10 04:06:00,CN-NGB,Ningbo,31.3,45.9,0.445,0.962,0.529,4.8,9.0,1
SENS-0000094,2026-04-04 08:06:00,IN-KND,Kandla Port,41.9,57.1,0.375,0.418,0.325,16.9,9.1,0
SENS-0000095,2026-04-04 18:07:00,IN-CHN,Chennai Port,16.0,71.7,0.341,0.437,0.272,5.4,6.3,1
SENS-0000096,2026-04-07 14:37:00,DE-HAM,Hamburg,39.2,81.6,0.338,0.709,0.245,14.0,10.7,3
SENS-0000097,2026-04-03 03:03:00,IN-AMD,Ahmedabad DC,21.6,99.2,0.117,0.601,0.737,0,9.6,3
SENS-0000098,2026-04-03 16:00:00,IN-KOL,Kolkata Port,23.4,60.5,0.346,0.772,0.865,6.6,5.0,3
SENS-0000099,2026-04-07 06:54:00,IN-KND,Kandla Port,27.4,67.3,0.142,0.821,0.692,0.1,4.1,0
SENS-0000100,2026-04-06 13:06:00,SG-SIN,Singapore,41.8,73.1,0.151,0.894,0.585,21.3,11.3,0
SENS-0000101,2026-04-03 14:03:00,IN-JNPT,Nhava Sheva (JNPT),20.7,62.9,0.425,0.322,0.627,24.4,9.3,0
SENS-0000102,2026-04-04 02:29:00,IN-TUT,Tuticorin Port,27.2,30.7,0.241,0.731,0.542,28.0,8.6,0
SENS-0000103,2026-04-09 04:44:00,ZA-DUR,Durban,30.3,82.8,0.487,0.539,0.028,11.4,6.2,0
SENS-0000104,2026-04-03 13:27:00,IN-GAU,Guwahati Warehouse,25.6,76.6,0.044,0.317,0.592,8.8,3.0,1
SENS-0000105,2026-04-01 01:56:00,IN-DEL,Delhi ICD (Tughlakabad),36.3,66.7,0.466,0.914,0.601,6.8,6.6,0
SENS-0000106,2026-04-09 21:04:00,CN-SZX,Shenzhen,36.2,62.8,0.136,0.398,0.724,11.5,10.8,0
SENS-0000107,2026-04-02 07:33:00,DE-HAM,Hamburg,28.5,55.3,0.15,0.944,0.648,16.7,12.0,1
SENS-0000108,2026-04-04 18:13:00,IN-MUN,Mundra Port,24.5,72.1,0.386,0.811,0.879,17.0,13.1,2
SENS-0000109,2026-04-01 05:09:00,IN-CHN,Chennai Port,19.3,92.3,0.266,0.507,0.782,11.7,11.1,0
SENS-0000110,2026-04-07 05:54:00,IN-JNPT,Nhava Sheva (JNPT),33.0,89.2,0.145,0.368,0.842,7.7,3.7,0
SENS-0000111,2026-04-02 17:30:00,AE-DXB,Dubai (Jebel Ali),23.1,52.8,0.14,0.631,0.434,11.6,16.2,0
SENS-0000112,2026-04-08 05:28:00,NL-RTM,Rotterdam,30.1,76.3,0.132,0.958,0.303,18.1,13.8,0
SENS-0000113,2026-04-06 12:50:00,IN-GAU,Guwahati Warehouse,23.7,59.0,0.333,0.355,0.542,11.1,4.9,0
SENS-0000114,2026-04-06 20:48:00,IN-MUN,Mundra Port,29.4,58.6,0.319,0.901,0.643,14.0,1.8,1
SENS-0000115,2026-04-08 14:05:00,NL-RTM,Rotterdam,31.3,74.9,0.186,0.735,0.796,0.7,6.3,0
SENS-0000116,2026-04-02 11:05:00,MY-PTG,Port Klang,20.8,84.4,0.036,0.749,0.511,5.9,9.3,0
SENS-0000117,2026-04-06 01:21:00,IN-HAZ,Hazira Port,27.0,78.5,0.218,0.609,0.153,8.3,3.3,2
SENS-0000118,2026-04-09 16:52:00,IN-HYD,Hyderabad DC,13.6,67.1,0.144,0.488,0.693,2.6,6.8,0
SENS-0000119,2026-04-02 03:18:00,IN-KOL,Kolkata Port,26.6,48.3,0.353,0.483,0.453,16.5,4.7,3
SENS-0000120,2026-04-09 18:35:00,IN-HYD,Hyderabad DC,30.2,61.1,0.047,0.419,0.571,28.3,12.6,2
SENS-0000121,2026-04-05 19:29:00,IN-TUT,Tuticorin Port,14.6,57.9,0.036,0.504,0.525,11.6,7.2,0
SENS-0000122,2026-04-08 14:12:00,MY-PTG,Port Klang,26.8,87.1,0.15,0.377,0.871,25.1,7.7,0
SENS-0000123,2026-04-08 04:21:00,CN-NGB,Ningbo,34.2,70.8,0.184,0.69,0.348,18.0,13.8,2
SENS-0000124,2026-04-04 12:01:00,IN-KOL,Kolkata Port,28.3,81.8,0.201,0.556,0.225,29.4,4.0,0
SENS-0000125,2026-04-05 23:29:00,IN-TUT,Tuticorin Port,32.9,58.8,0.4,0.646,0.311,15.9,7.8,0
SENS-0000126,2026-04-05 03:38:00,JP-YOK,Yokohama,27.5,74.2,0.16,0.511,0.669,12.7,7.1,2
SENS-0000127,2026-04-07 16:51:00,IN-JNPT,Nhava Sheva (JNPT),28.0,82.1,0.233,0.518,0.832,17.5,10.0,0
SENS-0000128,2026-04-01 23:05:00,DE-HAM,Hamburg,30.4,85.1,0.226,0.917,0.332,11.8,8.6,0
SENS-0000129,2026-04-08 21:50:00,JP-YOK,Yokohama,25.4,67.0,0.282,0.733,0.789,21.3,7.8,0
SENS-0000130,2026-04-05 07:19:00,JP-YOK,Yokohama,26.2,81.3,0.428,0.964,0.565,7.6,10.3,0
SENS-0000131,2026-04-01 17:36:00,TH-LCH,Laem Chabang,25.0,70.5,0.326,0.354,0.623,7.1,13.8,0
SENS-0000132,2026-04-02 17:01:00,KR-BUS,Busan,30.4,81.4,0.136,0.976,0.75,5.3,7.6,0
SENS-0000133,2026-04-09 07:27:00,IN-KOC,Kochi Port,22.5,58.5,0.024,0.743,0.49,23.6,0.5,0
SENS-0000134,2026-04-03 03:03:00,IN-BLR,Bangalore Hub (Whitefield),29.2,78.1,0.251,0.662,0.518,20.9,11.2,0
SENS-0000135,2026-04-09 22:28:00,IN-DEL,Delhi ICD (Tughlakabad),35.3,74.4,0.081,0.487,0.396,9.8,3.8,2
SENS-0000136,2026-04-05 15:20:00,CN-NGB,Ningbo,35.5,44.7,0.278,0.861,0.653,17.8,7.9,0
SENS-0000137,2026-04-02 23:25:00,ZA-DUR,Durban,27.5,77.6,0.313,0.723,0.613,2.4,10.7,0
SENS-0000138,2026-04-04 07:51:00,IN-VIZ,Visakhapatnam Port,33.5,85.0,0.059,0.554,0.317,18.3,5.7,1
SENS-0000139,2026-04-02 07:26:00,CN-NGB,Ningbo,22.7,61.0,0.525,0.511,0.512,11.5,6.5,0
SENS-0000140,2026-04-07 10:14:00,IN-TUT,Tuticorin Port,22.9,85.6,0.171,0.817,0.675,23.4,6.5,0
SENS-0000141,2026-04-10 14:21:00,IN-PUN,Pune DC (Chakan),34.5,83.2,0.216,0.947,0.272,6.1,1.1,1
SENS-0000142,2026-04-07 11:20:00,IN-KOL,Kolkata Port,31.0,32.0,0.078,0.881,0.663,3.3,6.4,3
SENS-0000143,2026-04-07 22:53:00,IN-DEL,Delhi ICD (Tughlakabad),32.0,58.3,0.486,0.396,0.644,8.9,10.8,0
SENS-0000144,2026-04-05 02:12:00,IN-KOC,Kochi Port,24.4,100.8,0.405,0.518,0.584,23.3,8.1,1
SENS-0000145,2026-04-08 04:18:00,LK-CMB,Colombo,31.5,78.2,0.217,0.628,0.606,14.3,8.2,3
SENS-0000146,2026-04-07 18:07:00,IN-PAR,Paradip Port,27.5,77.1,0.316,0.55,0.177,17.5,7.5,0
SENS-0000147,2026-04-09 05:03:00,KR-BUS,Busan,24.6,75.1,0.351,0.374,0.421,28.5,3.2,0
SENS-0000148,2026-04-08 20:51:00,NL-RTM,Rotterdam,26.0,62.8,0.184,0.319,0.785,15.6,0.5,0
SENS-0000149,2026-04-08 06:10:00,MY-PTG,Port Klang,15.7,66.8,0.227,0.794,0.982,16.6,9.2,0
SENS-0000150,2026-04-03 17:11:00,IN-MUM,Mumbai Warehouse (Bhiwandi),36.1,68.0,0.064,0.302,0.452,15.5,9.5,0
SENS-0000151,2026-04-04 00:13:00,NL-RTM,Rotterdam,26.6,88.2,0.224,0.738,0.515,17.7,8.1,0
SENS-0000152,2026-04-07 17:49:00,IN-GAU,Guwahati Warehouse,30.4,67.6,0.199,0.423,0.456,20.6,11.1,2
SENS-0000153,2026-04-07 16:32:00,IN-COK,Kochi Warehouse,29.2,77.9,0.379,0.941,0.573,2.3,10.4,0
SENS-0000154,2026-04-07 18:33:00,LK-CMB,Colombo,27.9,73.6,0.145,0.633,0.538,15.8,6.7,1
SENS-0000155,2026-04-07 17:57:00,US-LAX,Los Angeles,34.7,82.9,0.315,0.618,0.578,18.3,11.4,0
SENS-0000156,2026-04-09 02:20:00,IN-JNPT,Nhava Sheva (JNPT),29.5,57.9,0.601,0.722,0.165,22.1,3.6,0
SENS-0000157,2026-04-08 09:05:00,IN-KOC,Kochi Port,26.8,71.8,0.115,0.442,0.52,12.9,10.2,1
SENS-0000158,2026-04-07 21:52:00,MY-PTG,Port Klang,20.7,62.8,0.65,0.691,0.35,15.9,11.4,0
SENS-0000159,2026-04-02 15:42:00,CN-SHA,Shanghai,25.1,61.9,0.121,0.699,0.489,4.0,6.2,0
SENS-0000160,2026-04-10 15:12:00,IN-DEL,Delhi ICD (Tughlakabad),32.9,68.1,0.104,0.567,0.51,21.0,5.6,0
SENS-0000161,2026-04-10 03:37:00,JP-YOK,Yokohama,17.1,61.0,0.298,0.344,0.264,0,9.7,0
SENS-0000162,2026-04-07 04:04:00,CN-SZX,Shenzhen,36.2,86.2,0.207,0.81,0.509,16.3,11.3,0
SENS-0000163,2026-04-08 20:33:00,IN-AMD,Ahmedabad DC,15.4,50.4,0.426,0.702,0.134,19.7,10.9,0
SENS-0000164,2026-04-07 03:28:00,IN-GAU,Guwahati Warehouse,25.2,64.5,0.33,0.326,0.638,11.6,6.3,0
SENS-0000165,2026-04-06 08:50:00,CN-NGB,Ningbo,21.8,64.5,0.319,0.716,0.496,11.3,7.4,0
SENS-0000166,2026-04-04 08:01:00,LK-CMB,Colombo,20.8,57.8,0.352,0.566,0.604,14.0,9.0,0
SENS-0000167,2026-04-09 22:40:00,IN-MUN,Mundra Port,28.6,23.5,0.327,0.894,0.274,29.5,4.7,0
SENS-0000168,2026-04-08 10:14:00,IN-BLR,Bangalore Hub (Whitefield),24.4,37.8,0.331,0.813,0.613,10.2,8.0,0
SENS-0000169,2026-04-05 04:03:00,IN-BLR,Bangalore Hub (Whitefield),34.3,54.9,0.471,0.429,0.077,7.2,8.0,0
SENS-0000170,2026-04-06 02:26:00,IN-KOL,Kolkata Port,33.2,72.6,0.387,0.646,0.864,19.7,7.5,2
SENS-0000171,2026-04-04 22:33:00,IN-KOC,Kochi Port,31.4,29.7,0.11,0.809,0.92,5.2,11.1,1
SENS-0000172,2026-04-02 20:58:00,IN-HYD,Hyderabad DC,34.5,67.3,0.449,0.588,0.576,16.9,1.8,0
SENS-0000173,2026-04-04 20:51:00,IN-GAU,Guwahati Warehouse,29.6,88.3,0.362,0.887,0.716,8.8,2.5,0
SENS-0000174,2026-04-05 02:50:00,IN-TUT,Tuticorin Port,31.6,66.6,0.412,0.796,0.409,29.7,12.2,0
SENS-0000175,2026-04-04 14:20:00,SG-SIN,Singapore,23.5,74.5,0.127,0.764,0.545,10.4,5.9,0
SENS-0000176,2026-04-10 08:54:00,DE-HAM,Hamburg,32.8,78.7,0.676,0.77,0.632,5.1,6.2,2
SENS-0000177,2026-04-07 23:03:00,DE-HAM,Hamburg,42.0,63.4,0.354,0.73,0.241,17.0,4.6,2
SENS-0000178,2026-04-07 09:18:00,IN-KOC,Kochi Port,22.8,43.5,0.272,0.358,0.69,10.5,6.6,2
SENS-0000179,2026-04-07 23:03:00,IN-MUM,Mumbai Warehouse (Bhiwandi),35.7,81.9,0.289,0.637,0.642,23.5,10.7,2
SENS-0000180,2026-04-08 19:41:00,KR-BUS,Busan,32.3,78.0,0.373,0.633,0.696,13.5,7.8,0
SENS-0000181,2026-04-05 16:32:00,CN-SHA,Shanghai,28.7,46.2,0.589,0.852,0.81,1.8,9.7,0
SENS-0000182,2026-04-08 05:00:00,IN-MUM,Mumbai Warehouse (Bhiwandi),28.7,84.1,0.268,0.37,0.477,8.8,6.7,0
SENS-0000183,2026-04-10 20:35:00,MY-PTG,Port Klang,25.2,70.9,0.321,0.576,0.494,6.9,7.9,0
SENS-0000184,2026-04-01 10:31:00,CN-SHA,Shanghai,33.5,37.3,0.371,0.339,0.555,17.9,10.3,0
SENS-0000185,2026-04-01 09:21:00,IN-HYD,Hyderabad DC,20.6,57.0,0.018,0.68,0.566,21.1,7.2,0
SENS-0000186,2026-04-08 19:16:00,IN-CHN,Chennai Port,24.3,56.9,0.346,0.576,0.528,23.3,11.8,0
SENS-0000187,2026-04-05 07:12:00,TH-LCH,Laem Chabang,17.3,70.4,0.072,0.752,0.509,15.9,10.8,0
SENS-0000188,2026-04-07 19:28:00,IN-PAR,Paradip Port,32.2,79.2,0.279,0.876,0.579,13.0,7.2,0
SENS-0000189,2026-04-01 22:34:00,IN-KOC,Kochi Port,25.6,63.1,0.386,0.383,0.495,12.3,6.8,2
SENS-0000190,2026-04-10 07:29:00,ZA-DUR,Durban,24.2,51.0,0.524,0.697,0.62,21.8,8.0,0
SENS-0000191,2026-04-10 14:09:00,IN-PAR,Paradip Port,29.1,76.2,0.325,0.737,0.429,25.5,7.8,0
SENS-0000192,2026-04-10 03:27:00,IN-MUM,Mumbai Warehouse (Bhiwandi),30.0,61.4,0.132,0.767,0.575,20.5,7.1,0
SENS-0000193,2026-04-10 19:08:00,US-NYC,New York/New Jersey,32.3,73.1,0.296,0.587,0.189,4.7,6.7,0
SENS-0000194,2026-04-03 17:27:00,IN-VIZ,Visakhapatnam Port,37.6,79.5,0.201,0.702,0.354,13.1,8.5,0
SENS-0000195,2026-04-08 13:35:00,CN-SZX,Shenzhen,29.0,57.8,0.387,0.382,0.326,5.3,6.2,0
SENS-0000196,2026-04-05 06:23:00,ZA-DUR,Durban,39.7,81.1,0.045,0.956,0.669,23.3,6.2,3
SENS-0000197,2026-04-10 01:00:00,IN-HAZ,Hazira Port,18.3,53.6,0.145,0.556,0.55,10.1,7.2,0
SENS-0000198,2026-04-01 18:06:00,AE-DXB,Dubai (Jebel Ali),24.4,82.3,0.468,0.819,0.702,0.6,7.0,0
SENS-0000199,2026-04-04 17:53:00,IN-HYD,Hyderabad DC,18.4,59.4,0.305,0.696,0.596,0.7,6.0,0
SENS-0000200,2026-04-07 12:32:00,JP-YOK,Yokohama,26.9,77.7,0.238,0.858,0.733,17.0,4.6,0
SENS-0000201,2026-04-09 05:13:00,IN-AMD,Ahmedabad DC,34.4,57.3,0.276,0.546,0.575,6.7,5.4,1
SENS-0000202,2026-04-05 10:38:00,KR-BUS,Busan,31.7,46.2,0.237,0.843,0.382,15.8,10.0,0
SENS-0000203,2026-04-03 21:17:00,IN-GAU,Guwahati Warehouse,27.7,55.4,0.104,0.768,0.423,18.4,2.8,0
SENS-0000204,2026-04-10 17:50:00,IN-AMD,Ahmedabad DC,24.3,50.7,0.039,0.552,0.585,2.7,8.1,0
SENS-0000205,2026-04-06 22:01:00,IN-COK,Kochi Warehouse,32.4,57.7,0.388,0.921,0.837,27.3,7.8,0
SENS-0000206,2026-04-01 20:56:00,LK-CMB,Colombo,24.4,60.3,0.242,0.439,0.454,2.4,9.5,0
SENS-0000207,2026-04-03 15:43:00,IN-HYD,Hyderabad DC,28.3,61.8,0.146,0.71,0.449,18.2,6.3,0
SENS-0000208,2026-04-03 19:41:00,ZA-DUR,Durban,24.4,68.2,0.371,0.937,0.711,13.1,6.3,2
