shipment_id,booking_date,eta,actual_arrival,transit_days_planned,transit_days_actual,delay_days,origin_id,origin_name,dest_id,dest_name,commodity,hs_code,teu,total_cost_usd,carrier,status,risk_score,disruption_flag,transport_mode,distance_kkm
SHP-000038,2025-08-12,2025-09-21,2025-09-21,40,40,0,US-LAX,Los Angeles,IN-AMD,Ahmedabad DC,Petroleum Products,HS-27,8,9232,COSCO Shipping,delivered,0.245,0,road,0.6
SHP-000039,2025-04-19,2025-05-14,2025-05-17,25,28,3,MY-PTG,Port Klang,CN-SHA,Shanghai,Petroleum Products,HS-27,2,6482,ONE (Ocean Network Express),in_transit,0.32,0,multimodal,2.5
SHP-000040,2025-04-24,2025-05-22,2025-05-24,28,30,2,IN-MUN,Mundra Port,IN-VIZ,Visakhapatnam Port,Chemical Products,HS-38,4,9244,Hapag-Lloyd,delivered,0.231,0,multimodal,1.7
SHP-000041,2026-01-05,2026-01-20,2026-01-20,15,15,0,NL-RTM,Rotterdam,AE-DXB,Dubai (Jebel Ali),Textiles & Garments,HS-62,15,54390,ZIM Integrated Shipping,delivered,0.121,0,road,4.9
SHP-000042,2025-07-04,2025-07-18,2025-07-18,14,14,0,CN-SZX,Shenzhen,US-NYC,New York/New Jersey,Automobile Parts,HS-87,1,986,ZIM Integrated Shipping,disrupted,0.463,0,multimodal,1.0
SHP-000043,2025-09-03,2025-10-04,2025-10-04,31,31,0,IN-JNPT,Nhava Sheva (JNPT),US-NYC,New York/New Jersey,Petroleum Products,HS-27,2,8658,Maersk Line,delivered,0.195,0,road,0.9
SHP-000044,2026-01-27,2026-02-25,2026-02-27,29,31,2,LK-CMB,Colombo,IN-TUT,Tuticorin Port,Machinery,HS-84,2,5880,PIL (Pacific Int. Line),delivered,0.31,0,sea,4.8
SHP-000045,2025-02-11,2025-02-24,2025-02-24,13,13,0,CN-NGB,Ningbo,NL-RTM,Rotterdam,Plastics,HS-39,1,810,ZIM Integrated Shipping,delivered,0.662,0,road,3.7
SHP-000046,2025-04-30,2025-05-19,2025-05-22,19,22,3,IN-PUN,Pune DC (Chakan),IN-HAZ,Hazira Port,Plastics,HS-39,4,6440,PIL (Pacific Int. Line),delivered,0.171,0,sea,0.8
SHP-000047,2025-03-05,2025-04-06,2025-04-08,32,34,2,ZA-DUR,Durban,US-NYC,New York/New Jersey,Petroleum Products,HS-27,10,28490,Evergreen Marine,delivered,0.147,0,road,0.6
SHP-000048,2026-02-25,2026-03-17,2026-03-18,20,21,1,AE-DXB,Dubai (Jebel Ali),IN-MUN,Mundra Port,Plastics,HS-39,3,10404,CMA CGM,delivered,0.201,0,sea,2.6
SHP-000049,2025-12-10,2025-12-19,2025-12-24,9,14,5,IN-BLR,Bangalore Hub (Whitefield),TH-LCH,Laem Chabang,Steel & Iron,HS-72,2,5658,ONE (Ocean Network Express),delivered,0.368,0,multimodal,4.4
SHP-000050,2025-01-28,2025-02-12,2025-02-13,15,16,1,IN-JNPT,Nhava Sheva (JNPT),IN-PUN,Pune DC (Chakan),Agricultural Products,HS-10,5,16805,PIL (Pacific Int. Line),delivered,0.123,0,multimodal,1.0
SHP-000051,2025-10-10,2025-10-13,2025-10-14,3,4,1,LK-CMB,Colombo,SG-SIN,Singapore,Chemical Products,HS-38,2,8492,MSC,delayed,0.177,0,road,2.8
SHP-000052,2025-08-30,2025-09-17,2025-09-18,18,19,1,US-LAX,Los Angeles,IN-BLR,Bangalore Hub (Whitefield),Petroleum Products,HS-27,2,6510,CMA CGM,delivered,0.634,0,multimodal,2.0
SHP-000053,2025-05-25,2025-06-16,2025-06-19,22,25,3,IN-GAU,Guwahati Warehouse,US-LAX,Los Angeles,Electronics,HS-85,20,56100,PIL (Pacific Int. Line),delayed,0.308,0,multimodal,2.5
SHP-000054,2025-05-03,2025-06-11,2025-06-12,39,40,1,MY-PTG,Port Klang,CN-SZX,Shenzhen,Medical Devices,HS-90,1,3850,Evergreen Marine,delivered,0.544,0,sea,2.9
SHP-000055,2025-03-15,2025-04-13,2025-04-18,29,34,5,IN-PUN,Pune DC (Chakan),IN-JNPT,Nhava Sheva (JNPT),Medical Devices,HS-90,1,4001,CMA CGM,disrupted,0.181,0,multimodal,4.8
SHP-000056,2025-02-05,2025-02-23,2025-02-25,18,20,2,IN-COK,Kochi Warehouse,IN-CHN,Chennai Port,Food Products,HS-21,20,77160,Hapag-Lloyd,delivered,0.337,0,sea,1.8
SHP-000057,2025-05-06,2025-06-11,2025-06-12,36,37,1,JP-YOK,Yokohama,IN-MUM,Mumbai Warehouse (Bhiwandi),Pharmaceuticals,HS-30,1,1123,CMA CGM,delivered,0.233,0,rail,2.6
SHP-000058,2025-12-08,2025-12-11,2025-12-16,3,8,5,NL-RTM,Rotterdam,IN-PUN,Pune DC (Chakan),Chemical Products,HS-38,10,35750,Yang Ming,delivered,0.09,0,multimodal,4.3
SHP-000059,2025-10-20,2025-11-14,2025-11-15,25,26,1,IN-KOC,Kochi Port,LK-CMB,Colombo,Agricultural Products,HS-10,1,4199,Hapag-Lloyd,delivered,0.15,0,sea,4.6
SHP-000060,2025-11-07,2025-12-02,2025-12-02,25,25,0,IN-COK,Kochi Warehouse,US-NYC,New York/New Jersey,Automobile Parts,HS-87,3,10728,COSCO Shipping,in_transit,0.596,0,sea,1.9
SHP-000061,2025-07-06,2025-07-17,2025-07-17,11,11,0,IN-HYD,Hyderabad DC,IN-CHN,Chennai Port,Food Products,HS-21,2,5002,Hapag-Lloyd,delivered,0.058,0,road,4.6
SHP-000062,2026-03-22,2026-04-15,2026-04-18,24,27,3,IN-AMD,Ahmedabad DC,US-NYC,New York/New Jersey,Medical Devices,HS-90,15,20640,Yang Ming,in_transit,0.133,0,road,0.9
SHP-000063,2025-10-02,2025-10-12,2025-10-13,10,11,1,IN-DEL,Delhi ICD (Tughlakabad),IN-JNPT,Nhava Sheva (JNPT),Chemical Products,HS-38,3,12504,Hapag-Lloyd,delivered,0.235,0,road,4.6
SHP-000064,2026-02-26,2026-03-30,2026-04-04,32,37,5,AE-DXB,Dubai (Jebel Ali),IN-HAZ,Hazira Port,Plastics,HS-39,4,5108,Hapag-Lloyd,delivered,0.295,0,multimodal,3.1
SHP-000065,2025-02-20,2025-03-26,2025-03-28,34,36,2,IN-KND,Kandla Port,IN-BLR,Bangalore Hub (Whitefield),Plastics,HS-39,1,2317,Hapag-Lloyd,delivered,0.298,0,road,3.0
SHP-000066,2025-05-22,2025-06-06,2025-06-18,15,27,12,DE-HAM,Hamburg,IN-KOL,Kolkata Port,Agricultural Products,HS-10,1,1668,Yang Ming,delivered,0.245,1,rail,4.0
SHP-000067,2025-04-17,2025-05-27,2025-05-27,40,40,0,CN-NGB,Ningbo,IN-HAZ,Hazira Port,Machinery,HS-84,2,2808,COSCO Shipping,in_transit,0.322,0,sea,3.5
SHP-000068,2025-07-03,2025-07-21,2025-07-22,18,19,1,IN-MUN,Mundra Port,IN-PAR,Paradip Port,Electronics,HS-85,1,1014,Maersk Line,delivered,0.449,0,road,2.8
SHP-000069,2025-04-24,2025-06-05,2025-06-05,42,42,0,IN-KOC,Kochi Port,IN-HYD,Hyderabad DC,Machinery,HS-84,2,6870,ZIM Integrated Shipping,disrupted,0.086,0,multimodal,3.7
SHP-000070,2025-06-14,2025-07-25,2025-07-25,41,41,0,IN-HYD,Hyderabad DC,IN-HAZ,Hazira Port,Textiles & Garments,HS-62,2,6786,CMA CGM,delivered,0.372,0,multimodal,0.9
SHP-000071,2025-08-20,2025-09-06,2025-09-07,17,18,1,IN-TUT,Tuticorin Port,CN-NGB,Ningbo,Agricultural Products,HS-10,2,7576,Yang Ming,delivered,0.286,0,multimodal,0.8
SHP-000072,2026-01-17,2026-02-12,2026-02-15,26,29,3,IN-VIZ,Visakhapatnam Port,IN-MUM,Mumbai Warehouse (Bhiwandi),Textiles & Garments,HS-62,1,3100,ZIM Integrated Shipping,delivered,0.24,0,multimodal,4.4
SHP-000073,2025-06-09,2025-07-04,2025-07-04,25,25,0,IN-KOL,Kolkata Port,US-NYC,New York/New Jersey,Food Products,HS-21,2,6978,ZIM Integrated Shipping,delivered,0.385,0,multimodal,4.3
SHP-000074,2025-04-03,2025-04-23,2025-04-25,20,22,2,IN-MUN,Mundra Port,US-LAX,Los Angeles,Electronics,HS-85,10,22370,Hapag-Lloyd,delivered,0.209,0,rail,2.2
SHP-000075,2025-07-09,2025-07-31,2025-08-02,22,24,2,IN-PUN,Pune DC (Chakan),TH-LCH,Laem Chabang,Pharmaceuticals,HS-30,3,13254,PIL (Pacific Int. Line),delivered,0.107,0,multimodal,2.7
SHP-000076,2025-04-21,2025-05-26,2025-05-26,35,35,0,IN-HYD,Hyderabad DC,IN-BLR,Bangalore Hub (Whitefield),Chemical Products,HS-38,1,3577,Evergreen Marine,delivered,0.517,0,sea,0.5
SHP-000077,2026-01-27,2026-02-15,2026-02-15,19,19,0,ZA-DUR,Durban,CN-NGB,Ningbo,Pharmaceuticals,HS-30,1,3859,MSC,delivered,0.166,0,road,0.8
SHP-000078,2025-08-24,2025-08-31,2025-09-05,7,12,5,IN-CHN,Chennai Port,IN-MUM,Mumbai Warehouse (Bhiwandi),Electronics,HS-85,2,4912,PIL (Pacific Int. Line),in_transit,0.544,0,multimodal,4.2
SHP-000079,2026-03-09,2026-03-18,2026-03-18,9,9,0,JP-YOK,Yokohama,IN-VIZ,Visakhapatnam Port,Agricultural Products,HS-10,2,2244,PIL (Pacific Int. Line),delivered,0.241,0,sea,2.9
SHP-000080,2026-01-08,2026-02-21,2026-02-24,44,47,3,CN-SZX,Shenzhen,DE-HAM,Hamburg,Steel & Iron,HS-72,1,1848,COSCO Shipping,delivered,0.291,0,multimodal,2.6
SHP-000081,2025-06-11,2025-06-23,2025-06-24,12,13,1,IN-HYD,Hyderabad DC,MY-PTG,Port Klang,Plastics,HS-39,2,4080,Yang Ming,in_transit,0.535,0,sea,0.8
SHP-000082,2026-03-19,2026-03-27,2026-03-29,8,10,2,US-NYC,New York/New Jersey,IN-HAZ,Hazira Port,Plastics,HS-39,2,6354,ZIM Integrated Shipping,delivered,0.481,0,rail,1.9
SHP-000083,2025-02-01,2025-03-04,2025-03-04,31,31,0,IN-AMD,Ahmedabad DC,IN-GAU,Guwahati Warehouse,Pharmaceuticals,HS-30,20,22900,ONE (Ocean Network Express),delivered,0.15,0,rail,2.1
SHP-000084,2026-02-01,2026-02-25,2026-02-27,24,26,2,US-NYC,New York/New Jersey,KR-BUS,Busan,Agricultural Products,HS-10,5,17255,Maersk Line,delivered,0.236,0,rail,2.0
SHP-000085,2025-12-02,2026-01-16,2026-01-17,45,46,1,IN-KND,Kandla Port,DE-HAM,Hamburg,Chemical Products,HS-38,4,4588,PIL (Pacific Int. Line),delivered,0.155,0,sea,3.4
SHP-000086,2025-01-10,2025-02-05,2025-02-05,26,26,0,IN-MUM,Mumbai Warehouse (Bhiwandi),IN-GAU,Guwahati Warehouse,Steel & Iron,HS-72,2,7876,COSCO Shipping,delivered,0.31,0,sea,2.8
SHP-000087,2025-03-09,2025-04-19,2025-04-20,41,42,1,IN-CHN,Chennai Port,TH-LCH,Laem Chabang,Food Products,HS-21,1,3637,CMA CGM,in_transit,0.213,0,multimodal,3.2
SHP-000088,2025-05-03,2025-05-25,2025-06-06,22,34,12,IN-HYD,Hyderabad DC,AE-DXB,Dubai (Jebel Ali),Machinery,HS-84,10,15940,Yang Ming,delivered,0.69,1,multimodal,2.8
SHP-000089,2026-02-15,2026-03-28,2026-03-28,41,41,0,IN-BLR,Bangalore Hub (Whitefield),SG-SIN,Singapore,Automobile Parts,HS-87,1,2768,Hapag-Lloyd,delayed,0.205,0,road,0.9
SHP-000090,2026-04-09,2026-05-14,2026-05-14,35,35,0,SG-SIN,Singapore,US-LAX,Los Angeles,Petroleum Products,HS-27,1,1709,Evergreen Marine,delayed,0.593,0,road,1.6
SHP-000091,2025-01-15,2025-02-07,2025-02-15,23,31,8,IN-VIZ,Visakhapatnam Port,JP-YOK,Yokohama,Automobile Parts,HS-87,5,6815,ONE (Ocean Network Express),delivered,0.511,1,sea,0.6
SHP-000092,2026-01-08,2026-02-18,2026-02-19,41,42,1,CN-NGB,Ningbo,IN-KND,Kandla Port,Machinery,HS-84,5,8865,MSC,delivered,0.043,0,sea,4.3
SHP-000093,2025-09-21,2025-10-30,2025-10-30,39,39,0,IN-COK,Kochi Warehouse,IN-MUN,Mundra Port,Plastics,HS-39,2,1612,CMA CGM,delivered,0.141,0,road,0.8
SHP-000094,2026-03-24,2026-04-26,2026-04-26,33,33,0,IN-GAU,Guwahati Warehouse,IN-MUN,Mundra Port,Agricultural Products,HS-10,20,36760,Evergreen Marine,in_transit,0.295,0,sea,4.0
SHP-000095,2025-06-30,2025-08-06,2025-08-06,37,37,0,TH-LCH,Laem Chabang,IN-PAR,Paradip Port,Electronics,HS-85,8,28832,CMA CGM,delivered,0.299,0,road,1.4
SHP-000096,2026-04-23,2026-05-15,2026-05-16,22,23,1,CN-SZX,Shenzhen,IN-CHN,Chennai Port,Steel & Iron,HS-72,3,2847,ZIM Integrated Shipping,in_transit,0.102,0,road,1.7
SHP-000097,2026-01-16,2026-02-16,2026-02-21,31,36,5,JP-YOK,Yokohama,IN-MUM,Mumbai Warehouse (Bhiwandi),Agricultural Products,HS-10,2,3130,Evergreen Marine,delivered,0.279,0,multimodal,0.9
SHP-000098,2025-02-22,2025-03-02,2025-03-02,8,8,0,CN-SHA,Shanghai,US-NYC,New York/New Jersey,Steel & Iron,HS-72,2,6536,Hapag-Lloyd,in_transit,0.145,0,road,3.3
SHP-000099,2026-02-10,2026-02-16,2026-02-16,6,6,0,IN-MUM,Mumbai Warehouse (Bhiwandi),US-LAX,Los Angeles,Plastics,HS-39,2,8162,Evergreen Marine,in_transit,0.54,0,rail,4.0
SHP-000100,2025-01-17,2025-02-27,2025-02-27,41,41,0,JP-YOK,Yokohama,KR-BUS,Busan,Food Products,HS-21,10,23230,Yang Ming,delivered,0.103,0,road,1.6
SHP-000101,2025-04-06,2025-05-10,2025-05-11,34,35,1,IN-TUT,Tuticorin Port,IN-MUN,Mundra Port,Medical Devices,HS-90,1,3974,ZIM Integrated Shipping,delivered,0.324,0,multimodal,1.4
SHP-000102,2025-03-30,2025-04-30,2025-05-18,31,49,18,IN-PAR,Paradip Port,IN-HAZ,Hazira Port,Petroleum Products,HS-27,4,14824,ONE (Ocean Network Express),delivered,0.198,1,rail,4.1
SHP-000103,2025-04-13,2025-04-24,2025-04-24,11,11,0,IN-GAU,Guwahati Warehouse,AE-DXB,Dubai (Jebel Ali),Textiles & Garments,HS-62,1,3069,Yang Ming,delivered,0.412,0,sea,1.9
SHP-000104,2026-02-26,2026-04-06,2026-04-06,39,39,0,IN-AMD,Ahmedabad DC,IN-BLR,Bangalore Hub (Whitefield),Agricultural Products,HS-10,4,10572,ONE (Ocean Network Express),delivered,0.197,0,rail,4.0
SHP-000105,2026-04-12,2026-04-18,2026-04-21,6,9,3,IN-PAR,Paradip Port,IN-MUM,Mumbai Warehouse (Bhiwandi),Machinery,HS-84,1,1474,ZIM Integrated Shipping,delivered,0.273,0,road,1.1
SHP-000106,2025-11-25,2025-12-08,2025-12-09,13,14,1,ZA-DUR,Durban,IN-VIZ,Visakhapatnam Port,Machinery,HS-84,1,3498,PIL (Pacific Int. Line),delivered,0.168,0,sea,2.7
SHP-000107,2025-05-06,2025-06-03,2025-06-03,28,28,0,US-NYC,New York/New Jersey,ZA-DUR,Durban,Petroleum Products,HS-27,4,5788,MSC,delivered,0.25,0,road,3.8
SHP-000108,2026-01-25,2026-02-20,2026-02-21,26,27,1,DE-HAM,Hamburg,IN-DEL,Delhi ICD (Tughlakabad),Pharmaceuticals,HS-30,2,5420,MSC,delivered,0.486,0,multimodal,1.6
SHP-000109,2026-01-05,2026-01-28,2026-01-28,23,23,0,SG-SIN,Singapore,MY-PTG,Port Klang,Food Products,HS-21,3,8724,CMA CGM,delivered,0.1,0,road,0.7
SHP-000110,2026-03-28,2026-05-11,2026-05-13,44,46,2,US-NYC,New York/New Jersey,IN-COK,Kochi Warehouse,Food Products,HS-21,3,12810,Hapag-Lloyd,delivered,0.141,0,sea,2.3
SHP-000111,2025-05-28,2025-06-04,2025-06-05,7,8,1,CN-SZX,Shenzhen,JP-YOK,Yokohama,Machinery,HS-84,5,9725,Yang Ming,delayed,0.503,0,road,4.1
SHP-000112,2025-04-12,2025-05-23,2025-05-24,41,42,1,TH-LCH,Laem Chabang,JP-YOK,Yokohama,Pharmaceuticals,HS-30,1,959,ZIM Integrated Shipping,delivered,0.221,0,rail,2.0
SHP-000113,2025-11-12,2025-12-04,2025-12-05,22,23,1,MY-PTG,Port Klang,SG-SIN,Singapore,Agricultural Products,HS-10,5,14900,ZIM Integrated Shipping,delivered,0.643,0,sea,4.9
SHP-000114,2025-08-31,2025-09-19,2025-10-01,19,31,12,ZA-DUR,Durban,IN-MUN,Mundra Port,Food Products,HS-21,3,11262,PIL (Pacific Int. Line),delivered,0.218,1,multimodal,1.2
SHP-000115,2025-12-25,2026-01-04,2026-01-04,10,10,0,LK-CMB,Colombo,IN-CHN,Chennai Port,Food Products,HS-21,2,2840,Yang Ming,delivered,0.135,0,sea,3.7
SHP-000116,2025-09-02,2025-10-08,2025-10-09,36,37,1,CN-NGB,Ningbo,MY-PTG,Port Klang,Plastics,HS-39,3,8949,CMA CGM,delivered,0.171,0,road,3.2
SHP-000117,2025-10-13,2025-11-04,2025-11-04,22,22,0,CN-SZX,Shenzhen,LK-CMB,Colombo,Chemical Products,HS-38,5,18435,Hapag-Lloyd,delivered,0.449,0,road,1.8
SHP-000118,2026-01-31,2026-02-12,2026-02-12,12,12,0,KR-BUS,Busan,IN-DEL,Delhi ICD (Tughlakabad),Steel & Iron,HS-72,15,16845,Hapag-Lloyd,delivered,0.265,0,road,4.7
SHP-000119,2025-11-12,2025-12-22,2025-12-22,40,40,0,US-LAX,Los Angeles,IN-PAR,Paradip Port,Textiles & Garments,HS-62,4,11900,Maersk Line,delivered,0.203,0,rail,0.5
SHP-000120,2026-04-24,2026-05-27,2026-05-28,33,34,1,SG-SIN,Singapore,IN-BLR,Bangalore Hub (Whitefield),Plastics,HS-39,5,9880,COSCO Shipping,delivered,0.551,0,sea,4.6
SHP-000121,2026-04-24,2026-04-29,2026-05-17,5,23,18,CN-SHA,Shanghai,IN-BLR,Bangalore Hub (Whitefield),Pharmaceuticals,HS-30,5,7815,Evergreen Marine,delayed,0.321,1,multimodal,1.7
SHP-000122,2026-01-10,2026-02-11,2026-02-13,32,34,2,IN-TUT,Tuticorin Port,TH-LCH,Laem Chabang,Pharmaceuticals,HS-30,1,2180,CMA CGM,in_transit,0.44,0,multimodal,4.2
SHP-000123,2025-07-25,2025-09-08,2025-09-08,45,45,0,IN-GAU,Guwahati Warehouse,MY-PTG,Port Klang,Textiles & Garments,HS-62,3,5448,CMA CGM,delivered,0.299,0,sea,1.7
SHP-000124,2025-12-08,2025-12-18,2025-12-19,10,11,1,JP-YOK,Yokohama,LK-CMB,Colombo,Electronics,HS-85,2,5716,CMA CGM,delayed,0.503,0,road,2.2
SHP-000125,2025-03-20,2025-04-21,2025-04-23,32,34,2,AE-DXB,Dubai (Jebel Ali),IN-PAR,Paradip Port,Petroleum Products,HS-27,2,7350,PIL (Pacific Int. Line),delivered,0.23,0,rail,3.6
